Original Row Number,02 Gender,03 Height (in.),04 Weight (lbs.),05 Desired Weight (lbs.),06 Class Level,07 Born in TN?,08 Member of Frat/Sorority?,09 Current GPA,10 Where Do You Sit?,11 Type Of Computer Used?,12 Text Messages Sent Per Day,13 $ Spent on Haircut,14 Percent of Tuition You Pay,15 One or More Parents College Grad?,16 Hours Working a Job Per Week,17 Minutes Per Day on "Facebook",18 Talk on Cell Phone While Driving?,19 Read Text Messages While Driving?,20 Send Text Messages While Driving?,21 Number of Tattoos,22 Number of Body Piercings,23 Grade in Math 125,24 Expected Grade in Stat 201,25 Left or Right Handed?,26 Hand You Hold Phone to Ear,27 Which Wrist Wear Watch,28 Introvert or Extravert,29 Fold or Crumple Toilet Paper,30 Hours per Week Playing Video Games,31 Fold Hands - Thumb on Top?,32 Fuel Efficiency (mpg),33 Distance from Home to UT,34 Hair Color,35 Own an e-Reader?,36 Percentage Dateable,37 Cell Phone Contacts,38 Cell Phone Contacts Gender Majority,39 Right Foot Bigger Toe,40 Left Foot Bigger Toe,41 Percent UT You Are More Attractive Than,42 Percent UT You Are More Intelligent Than,43 Percent UT You Are More Athletic Than,44 Percent UT You Are Funnier Than,45 Percent UT You Are More Wealthy Than,46 Change in Pocket/Purse,47 Significant Other?,48 Your Own Attractiveness Rating,49 Number of Vol Football Games Attended,50 Favorite TV Show,Studentized Resid 42 Percent UT You Are More Intelligent Than,h 42 Percent UT You Are More Intelligent Than,Cook's D Influence 42 Percent UT You Are More Intelligent Than
545,Female,64,125,120,Sophomore,Yes,Yes,3.7,Near the Front,PC,150,9,0,Yes,34,60,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,1,7,A,A,Right,Right,Left,Extravert,Varies,0,Left,29,17,Brown,No,40,137,Same,Second Toe,Big Toe,30,85,40,80,40,25.67,Yes,68,100,Saturday Night Live,1.942682199,0.04247562,0.0069756096
546,Female,68,190,170,Junior,Yes,No,2.9,Around the Middle,Mac,30,40,0,Yes,0,120,Frequently,Frequently,Frequently,1,3,B,C,Right,Right,Left,Extravert,Crumple,2,Right,20,172,Brown,No,30,147,Same,Big Toe,Big Toe,20,10,45,15,48,0,No,30,2,NCIS,-1.628728826,0.0220198507,0.0024886891
547,Male,72,204,195,Sophomore,No,No,3.11,The Front Row,PC,12,10,0,Yes,0,30,On Rare Occasions,Never,Never,0,0,A,A-,Right,Right,Right,Introvert,Fold,8,Right,30,0,Black,No,30,289,Females,Second Toe,Second Toe,71,60,85,20,91,100,Yes,78,3,BBC's Top gear.,-0.818999838,0.0612999892,0.0018251139
548,Female,67,125,124,Sophomore,No,No,3.4,Near the Front,Mac,20,38,0,Yes,0,15,Occasionally,Frequently,Frequently,0,3,A-,A-,Right,Right,Left,Introvert,Crumple,0,Left,15,193,Brown,No,20,25,Same,Same,Same,51,49,75,65,52,1.87,Yes,55,10,The Office,-0.755205893,0.0138937809,0.0003348237
549,Male,72,185,180,Junior,Yes,No,3.01,Around the Middle,PC,50,15,50,No,0,120,On Rare Occasions,Occasionally,Occasionally,0,0,C+,B-,Right,Right,Right,Extravert,Crumple,5,Left,17,25,Brown,No,75,121,Same,Big Toe,Big Toe,88,75,87,75,45,0,Yes,80,12,Its Always Sunny in Philadelphia,-0.046994977,0.0173102674,1.620985e-6
550,Male,71,197,180,Sophomore,Yes,No,3.16,Near the Back,Mac,50,13,0,Yes,0,30,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,0,A,A,Right,Right,Left,Extravert,Fold,21,Right,21,172,Brown,No,75,177,Same,Big Toe,Big Toe,20,30,10,70,50,0,No,80,3,Blue Mountain State,-1.228018892,0.0452859443,0.0029804989
551,Male,72,168,169,Junior,Yes,No,2.75,Near the Back,Mac,20,12,0,Yes,0,200,Frequently,Occasionally,Occasionally,0,0,A,B+,Right,Right,Left,Extravert,Crumple,6,Right,35,12.3,Blond,No,0,123,Males,Same,Same,70,60,70,80,40,0,No,80,13,Eastbound and down,-0.291703466,0.02279297,0.0000826963
552,Female,63,180,150,Sophomore,Yes,No,2.44,Around the Middle,Mac,30,15,50,No,2,180,Occasionally,On Rare Occasions,On Rare Occasions,0,2,C+,B+,Right,Varies,Left,Extravert,Fold,2,Left,0,3.7,Black,No,25,192,Males,Second Toe,Second Toe,50,50,20,50,20,7.23,Yes,50,14,The Office,0.1675180099,0.025170264,0.0000301905
553,Female,67,132,125,Sophomore,Yes,No,3.96,Near the Front,PC,6,14,12,No,0,90,On Rare Occasions,Never,Never,1,2,A,A,Right,Right,Left,Introvert,Fold,1,Left,14,13.2,Brown,No,81,36,Females,Second Toe,Second Toe,75,80,30,95,50,0.61,No,78,5,Haven,0.3832206814,0.0323092766,0.0002043042
554,Female,62,123,117,Sophomore,Yes,No,3.67,Around the Middle,PC,100,35,0,No,0,30,Occasionally,Frequently,Frequently,0,3,A,A,Right,Right,Left,Introvert,Crumple,0,Left,0,9.1,Blond,No,10,112,Females,Big Toe,Big Toe,25,25,10,10,10,2.38,Yes,50,10,Desperate Housewives,-0.469203234,0.018142698,0.0001694979
555,Female,67,137,134,Senior,Yes,No,3.24,Around the Middle,Other,10,40,0,Yes,12,30,Occasionally,Frequently,Occasionally,0,2,B+,B,Right,Right,Left,Introvert,Crumple,0,Right,0,197,Brown,No,13,0,Males,Big Toe,Big Toe,50,50,50,70,40,15.25,Yes,80,20,What Not to Wear,-0.317963642,0.0152317759,0.0000651569
556,Male,74,275,175,Senior,No,No,2.5,Near the Back,PC,5,14,50,No,0,0,Occasionally,On Rare Occasions,Never,0,0,B,B+,Right,Right,Left,Introvert,Crumple,6,Left,35,175,Brown,No,100,30,Same,Big Toe,Big Toe,50,50,50,75,25,0,No,85,15,Mad Men,-0.768977798,0.0882543173,0.0023849463
557,Male,72,180,190,Junior,Yes,No,2.8,Near the Front,PC,45,15,100,Yes,20,5,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,0,B,A-,Right,Right,Left,Introvert,Fold,1,Left,22,15,Brown,No,1,100,Same,Second Toe,Second Toe,15,15,16,70,5,0,Yes,60,7,Glee,-1.623293482,0.026979099,0.0030443047
558,Female,53,120,115,Freshman,No,No,4,Around the Middle,PC,200,30,0,Yes,0,60,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,3,A,A-,Right,Varies,Left,Extravert,Crumple,0,Left,0,197,Brown,No,35,446,Males,Big Toe,Big Toe,37,60,26,15,40,2.47,Yes,70,10,Friday Night Lights,0.8104211374,0.0460636988,0.0013214469
559,Female,64,118,115,Sophomore,Yes,Yes,3.66,Around the Middle,PC,100,50,0,Yes,0,120,Practically Every Time I Drive,Frequently,Occasionally,0,5,A,A,Right,Right,Left,Extravert,Crumple,1,Left,18.6,100.01,Blond,No,50,220,Same,Big Toe,Big Toe,75,60,60,75,60,0.79,Yes,80,70,The Office,-0.427807131,0.0169673396,0.0001316226
560,Female,59,95,95,Freshman,No,No,0,Near the Front,PC,50,20,0,Yes,0,120,Never,On Rare Occasions,Never,0,2,A,A,Right,Left,Left,Introvert,Fold,0,Right,0,23.1,Black,No,30,50,Females,Big Toe,Second Toe,50,50,10,40,50,2.54,No,60,2,Vampire Diaries,1.4450827248,0.0642513593,0.0059744412
561,Male,72,178,175,Junior,Yes,No,3.25,Near the Front,PC,100,15,0,No,24,60,On Rare Occasions,Frequently,Occasionally,3,0,B-,B,Right,Varies,Right,Extravert,Fold,2,Left,30,39.26,Brown,No,1,200,Same,Second Toe,Second Toe,30,25,50,20,50,0,Yes,70,5,Mythbusters,-0.92610757,0.047596465,0.0017859337
562,Male,73,155,170,Junior,Yes,No,3.2,Around the Middle,PC,20,0,100,Yes,15,30,Occasionally,On Rare Occasions,On Rare Occasions,1,0,B+,A,Left,Varies,Right,Extravert,Varies,1,Right,19,110,Blond,No,60,318,Same,Second Toe,Second Toe,60,50,40,60,30,0,Yes,87,15,Southpark,-0.545583344,0.0239319371,0.0003040946
563,Female,66,155,130,Other,Yes,No,4,Near the Front,Mac,20,50,0,Yes,20,180,On Rare Occasions,Frequently,Frequently,1,6,A-,A,Right,Left,Left,Extravert,Crumple,0,Right,26.7,10.4,Blond,No,30,300,Same,Big Toe,Big Toe,45,85,45,60,50,6.77,No,75,14,The Office,1.5342750892,0.0252513142,0.002540894
564,Male,71,187,178,Junior,Yes,No,2.44,Near the Back,Mac,25,18,0,Yes,40,20,Frequently,Frequently,Frequently,0,0,B-,B+,Right,Right,Left,Introvert,Fold,12,Right,0,193,Brown,No,20,24,Same,Big Toe,Big Toe,78,85,60,35,43,0,Yes,85,50,24,1.5440465387,0.0363052367,0.0037423061
565,Male,72,130,130,Sophomore,Yes,Yes,3.85,Around the Middle,Mac,100,15,0,Yes,0,60,Occasionally,Frequently,Occasionally,0,0,A,A,Right,Right,Left,Extravert,Fold,5,Right,14,197,Brown,No,25,235,Males,Big Toe,Big Toe,90,85,60,89,60,55,No,90,20,The OC,0.3185622888,0.0269539114,0.0001171294
566,Female,69,140,130,Sophomore,Yes,Yes,3.43,Around the Middle,PC,100,80,0,Yes,16,120,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,2,A,B,Right,Left,Left,Extravert,Crumple,0,Left,23,4.3,Brown,No,80,338,Females,Big Toe,Big Toe,55,50,40,45,50,1.79,No,78,20,Desperate Housewives,-0.02533568,0.0254509065,6.9847911e-7
567,Female,69,147,140,Sophomore,No,No,3.11,Near the Front,PC,10,25,5,Yes,0,0,Occasionally,On Rare Occasions,Never,0,2,C,A-,Right,Varies,Left,Extravert,Fold,0,Left,30,190,Brown,No,5,161,Same,Second Toe,Second Toe,60,60,73,35,55,6.78,Yes,65,7,Do not have one,-0.1170931,0.012456777,7.2061109e-6
568,Female,65,130,120,Junior,Yes,No,2.29,The Front Row,PC,50,80,20,Yes,18,60,Frequently,Frequently,Frequently,0,4,B,B+,Right,Right,Left,Extravert,Crumple,1,Right,25,160.58,Brown,No,10,40,Same,Big Toe,Big Toe,50,50,60,75,30,1.15,Yes,80,7,weeds,-0.146418838,0.022486966,0.000020549
569,Female,62,170,145,Junior,Yes,Yes,2.99,Near the Front,PC,360,15,0,Yes,8,20,Frequently,Never,Never,0,2,B,B,Right,Right,Right,Extravert,Crumple,0,Right,23,386,Brown,No,40,250,Same,Big Toe,Big Toe,80,70,30,50,40,0.75,Yes,100,0,Glee,0.6866956861,0.0355074928,0.0007233334
570,Male,72,180,170,Junior,No,No,2.78,Around the Middle,PC,120,0,0,No,0,90,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,0,B+,A,Right,Left,Left,Extravert,Crumple,5,Left,25,249,Brown,No,40,62,Same,Big Toe,Big Toe,80,70,80,70,50,0,No,90,15,dexter,0.115477419,0.0127747026,7.1898101e-6
571,Female,64,115,112,Junior,Yes,No,4,Near the Front,Mac,100,50,100,No,24,90,Practically Every Time I Drive,Frequently,Frequently,0,2,A,A,Right,Right,Right,Introvert,Crumple,0,Left,25,5.6,Brown,No,20,150,Same,Big Toe,Big Toe,50,85,40,40,50,0,Yes,75,15,Unsolved Mysteries,1.1578160788,0.0188500673,0.001073113
572,Female,68,165,155,Sophomore,Yes,Yes,3.45,Near the Back,Mac,150,32,0,Yes,15,120,Occasionally,Occasionally,On Rare Occasions,0,4,B,B,Right,Right,Left,Extravert,Crumple,0,Right,28,187,Brown,No,30,200,Same,Same,Same,0,10,0,2,10,0.75,No,25,20,Entourage,-0.682699678,0.0243239167,0.0004841456
573,Male,72,205,185,Sophomore,Yes,Yes,3.2,Around the Middle,Mac,100,12,50,Yes,0,300,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,0,B+,B+,Ambidextrous,Left,Left,Extravert,Fold,8,Left,19,189,Brown,No,76,125,Females,Big Toe,Second Toe,75,75,75,99,23,0.01,Yes,99,100,Eastbound and Down,0.3409085907,0.0489204674,0.0002490797
574,Female,69,160,130,Junior,No,No,2.9,Near the Back,PC,1,15,100,Yes,16,30,Occasionally,Occasionally,Occasionally,0,0,C,B,Right,Right,Right,Introvert,Fold,0,Left,30,15,Brown,No,50,33,Females,Big Toe,Big Toe,50,50,50,50,50,5,Yes,75,0,The office,-0.740489726,0.0244153488,0.0005717745
575,Male,74,192,190,Junior,No,No,3.4,Around the Middle,PC,50,0,0,Yes,0,10,Occasionally,Frequently,Frequently,0,0,A-,A,Right,Right,Left,Introvert,Fold,2,Right,0,4079,Brown,No,10,35,Same,Big Toe,Big Toe,60,60,75,40,40,0.89,Yes,70,8,criminal minds,-0.627952755,0.2283539157,0.0048622021
576,Female,63,110,110,Junior,Yes,No,3.55,Near the Back,Other,8,12,0,Yes,12,60,Occasionally,Occasionally,Occasionally,0,2,A,A-,Left,Right,Left,Introvert,Crumple,0,Left,24,21,Red,No,30,73,Females,Big Toe,Big Toe,30,40,10,10,15,2.78,No,50,6,Gilmore Girls,0.0539973105,0.0148784587,1.8348524e-6
577,Female,66,134,125,Sophomore,Yes,No,2.78,Somewhere Different All The Time,PC,35,30,15,No,0,3,Occasionally,Practically Every Time I Drive,Frequently,0,2,B,A,Right,Right,Left,Introvert,Fold,2,Left,26,110,Brown,No,5,83,Males,Second Toe,Second Toe,80,60,86,67,50,1.04,No,75,13,friday night lights,-0.666813266,0.0145005341,0.0002725994
578,Male,67,135,150,Sophomore,No,Yes,3.91,Near the Back,PC,30,10,100,No,0,60,On Rare Occasions,Never,Never,0,0,A-,A,Right,Right,Left,Introvert,Varies,2,Right,25,180,Black,No,1,135,Males,Second Toe,Second Toe,40,80,75,95,60,0,No,40,10,The Simpsons,0.01487474,0.0365056466,3.4929985e-7
579,Male,69,180,190,Sophomore,Yes,Yes,2.73,Around the Middle,Mac,40,15,80,No,0,120,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,0,C-,A,Right,Right,Left,Extravert,Crumple,2,Right,23,378,Brown,No,80,534,Females,Big Toe,Second Toe,80,75,90,89,40,24.01,No,100,8,Entourage,-0.030852042,0.038624869,1.5934217e-6
580,Female,64,127,124,Sophomore,Yes,No,3.2,Near the Front,PC,30,30,15,Yes,0,180,Frequently,Frequently,Occasionally,0,3,A,A,Right,Right,Left,Extravert,Varies,3,Left,24,115,Brown,No,15,66,Same,Second Toe,Second Toe,69,68,50,50,68,3.67,No,67,17,gossip girl,0.1075772631,0.0142843032,6.9877463e-6
581,Female,73,110,105,Sophomore,No,No,2.3,The Back Row,Mac,60,15,70,Yes,0,60,Occasionally,Occasionally,Occasionally,0,2,A,B+,Right,Right,Right,Introvert,Fold,3,Right,29,190,Brown,No,20,178,Same,Second Toe,Second Toe,40,20,30,60,80,3.25,No,86,0,Modern Family,-1.703948406,0.0427176915,0.0053984537
582,Male,77,243,220,Freshman,Yes,No,2.9,Around the Middle,PC,4,18,0,Yes,0,30,On Rare Occasions,Never,Never,0,0,A-,A-,Ambidextrous,Left,Left,Extravert,Fold,5,Left,25,76,Brown,No,80,20,Same,Big Toe,Big Toe,40,60,40,97,98,12,No,67,27,Family Guy,-0.437955566,0.0394817507,0.0003285032
583,Female,63,160,135,Junior,No,No,3.2,Around the Middle,PC,10,30,80,Yes,30,30,Occasionally,On Rare Occasions,Never,0,9,A-,B+,Left,Right,Right,Extravert,Fold,10,Left,32,85,Brown,No,10,126,Same,Big Toe,Big Toe,50,75,15,75,15,85,Yes,75,25,Jon Stewart/Stephen Colbert,0.4703090856,0.07642847,0.0007626761
584,Female,65,130,125,Sophomore,Yes,Yes,3.82,Around the Middle,PC,50,125,0,Yes,0,4,Frequently,Frequently,Frequently,0,6,A,A,Right,Right,Left,Extravert,Fold,3,Left,22,4,Brown,Yes,50,250,Same,Big Toe,Big Toe,25,25,25,25,50,5,No,60,5,gossip girl,-1.162559735,0.0390385089,0.0022877394
585,Male,73,165,190,Junior,No,No,3.1,Near the Back,Mac,20,0,0,Yes,25,20,Occasionally,Occasionally,Occasionally,1,0,A,B+,Ambidextrous,Left,Left,Introvert,Fold,2,Left,23,216,Brown,No,30,357,Females,Second Toe,Second Toe,40,95,20,100,70,0,No,50,15,That 70s Show,2.0073301252,0.0438467428,0.0076990332
586,Female,65,135,128,Junior,Yes,No,2.75,Around the Middle,PC,30,35,0,Yes,0,15,Frequently,Frequently,Frequently,0,2,B,C,Right,Right,Left,Extravert,Fold,0,Right,25,13,Brown,No,1,100,Females,Second Toe,Same,25,25,35,35,60,11.55,No,75,20,glee,-1.038038174,0.0126159294,0.000573652
587,Male,69,145,160,Sophomore,No,No,3,Near the Back,PC,100,10,40,No,8,45,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,0,0,B,A-,Right,Left,Left,Extravert,Crumple,1,Left,20,28.5,Brown,No,25,125,Males,Big Toe,Big Toe,99.9,51,85,68,45,0,No,83,4,Family Guy,-1.413624157,0.0115628438,0.0009740299
588,Male,70,153,165,Senior,Yes,No,3.1,Near the Back,PC,100,20,0,Yes,0,2,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,0,0,B,B,Right,Right,Left,Extravert,Fold,3,Right,13,152,Brown,No,15,100,Same,Second Toe,Second Toe,75,75,95,45,75,0,No,85,50,tosh.0,0.3925594431,0.0145572089,0.000094852
589,Male,69,170,170,Junior,No,Yes,2.87,Around the Middle,Mac,25,14,0,Yes,0,10,Frequently,Occasionally,Occasionally,0,0,C,A-,Right,Varies,Left,Extravert,Varies,1,No Thumbs,0,180,White,No,100,579,Same,Missing Toes,Big Toe,90,60,90,50,95,0,Yes,1.687,7,Girls Gone Wild,-0.850234245,0.0975532983,0.0032560146
590,Male,69,150,180,Sophomore,No,No,2.47,Near the Back,PC,50,12,33,No,20,60,On Rare Occasions,Never,Never,1,2,A,B+,Right,Right,Left,Introvert,Crumple,3,Left,0,1974,Black,No,25,167,Females,Big Toe,Big Toe,75,50,85,80,15,0.25,Yes,85,5,Sportscenter,-0.79912385,0.0710157121,0.0020340565
591,Male,78,250,225,Junior,Yes,No,3.27,Around the Middle,PC,200,16,100,Yes,0,2,Occasionally,Occasionally,Occasionally,0,0,B+,A-,Right,Right,Left,Extravert,Fold,5,Left,15,200,Brown,No,25,100,Same,Second Toe,Second Toe,80,80,90,60,40,0,No,80,25,ESPN,0.1956937704,0.0350474403,0.0000579553
592,Female,59,118,125,Senior,No,No,2.8,Near the Back,PC,20,75,0,Yes,16,20,Occasionally,Occasionally,On Rare Occasions,0,5,B+,C+,Right,Left,Left,Extravert,Fold,0,Right,15,0,Brown,Yes,20,200,Same,Big Toe,Big Toe,100,100,100,100,100,5,No,100,0,"FRIENDSITS ALWAYS SUNNY IN PHILADELPHIA",0.6652343612,0.0410353893,0.000789031
593,Male,71,175,180,Sophomore,Yes,No,3.22,Near the Back,Mac,100,30,0,Yes,0,30,Occasionally,Frequently,Frequently,0,0,A,A-,Left,Left,Left,Introvert,Crumple,5,Left,18,123,Brown,No,65,113,Males,Big Toe,Big Toe,60,60,60,40,70,0,Yes,89,20,Modern Family,-0.018149942,0.0155810445,2.1724802e-7
594,Female,67,150,145,Junior,Yes,Yes,3.2,Around the Middle,Mac,200,30,0,Yes,0,120,Frequently,Practically Every Time I Drive,Frequently,0,7,B,A,Right,Varies,Left,Extravert,Fold,1,Left,23,192,Brown,No,60,419,Same,Second Toe,Second Toe,25,30,50,50,80,1.1,No,70,30,CSI: Miami,-0.764372361,0.0360953006,0.000911623
595,Female,66,120,120,Sophomore,Yes,No,2.49,Near the Front,PC,100,0,25,No,15,180,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,3,A-,A-,Right,Right,Left,Introvert,Crumple,0,Right,0,219,Black,No,10,200,Males,Big Toe,Big Toe,50,25,10,25,25,5,No,75,4,Thats So Raven,-0.434097971,0.026667446,0.0002151218
596,Male,72,155,165,Freshman,No,No,3.5,The Back Row,PC,50,0,0,Yes,20,120,On Rare Occasions,Occasionally,On Rare Occasions,0,0,A,A-,Right,Right,Left,Introvert,Fold,0.5,Right,25,15.8,Brown,No,1,80,Same,Same,Same,60,75,50,40,25,0,No,70,1,Nitro Circus,1.1282056643,0.0180464412,0.0009746887
597,Female,64,130,128,Sophomore,Yes,Yes,3.49,Around the Middle,PC,750,25,0,Yes,15,120,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,5,A,A,Right,Right,Left,Extravert,Crumple,0,Left,25,8.8,Brown,No,50,250,Females,Big Toe,Big Toe,30,20,30,40,30,54.55,Yes,85,30,The Bachelor/Bachelorette,-0.469746375,0.0855613528,0.0008602778
598,Male,72,200,180,Sophomore,No,Yes,2.38,Around the Middle,Mac,11,20,0,No,0,120,Occasionally,Occasionally,Practically Every Time I Drive,0,0,C-,B,Left,Left,Right,Extravert,Fold,7,Left,13,247,Brown,No,1,457,Females,Second Toe,Second Toe,10,70,50,90,95,0,Yes,85,24,Eastbound and Down,1.2212924018,0.0493323089,0.0032250079
599,Female,63,105,105,Sophomore,Yes,Yes,3,Near the Front,PC,12,20,15,Yes,0,30,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,2,A,A,Right,Varies,Left,Introvert,Crumple,2,Right,29,174,Black,No,30,113,Females,Second Toe,Second Toe,45,60,30,40,60,0.49,Yes,70,9,Keeping Up With the Kardashians,0.28520991,0.0118470271,0.0000406353
600,Female,65,134,128,Senior,Yes,Yes,2.67,Somewhere Different All The Time,Mac,30,30,50,Yes,24,100,Frequently,Occasionally,Occasionally,0,2,B+,B+,Right,Right,Left,Extravert,Crumple,0,Right,27.5,1.38,Brown,No,20,200,Same,Big Toe,Big Toe,70,50,50,70,90,2.03,Yes,77,35,Family Guy,-1.055580239,0.0176130241,0.0008323818
601,Male,73,270,250,Junior,No,No,2.69,Around the Middle,PC,100,15,0,Yes,15,30,Occasionally,On Rare Occasions,On Rare Occasions,0,0,A,A,Right,Right,Left,Extravert,Fold,1,Left,15,220,Brown,No,35,250,Males,Big Toe,Big Toe,65,70,30,80,25,2.35,No,70,11,Swamp People,0.5948546028,0.0321091894,0.0004891177
602,Female,63,125,120,Sophomore,No,No,2.8,Near the Front,Other,5,100,0,Yes,10,240,Occasionally,Never,Never,0,3,A,B+,Right,Right,Left,Introvert,Fold,1,Left,0,4,Black,No,60,25,Males,Big Toe,Big Toe,50,40,10,50,70,0.75,No,60,2,Undercover boss,-0.390402533,0.0414074349,0.0002743205
603,Female,64,156,156,Senior,Yes,No,2.79,Around the Middle,PC,75,25,80,No,20,30,Frequently,Frequently,Frequently,0,5,A,A,Right,Left,Left,Extravert,Fold,0,Right,40,25.3,Brown,No,0,196,Same,Second Toe,Second Toe,65,65,45,45,45,0,No,75,2,"I don't watch a lot of TV, but when I did I loved watching Bones.",0.0002719556,0.0263920166,8.353592e-11
604,Female,64,137,130,Senior,Yes,Yes,3,Near the Front,PC,10,120,50,No,0,20,Frequently,Occasionally,Occasionally,3,4,C+,B-,Left,Right,Right,Extravert,Crumple,0,Right,14,15,Red,No,15,50,Same,Big Toe,Big Toe,60,50,10,40,40,1,Yes,80,30,The Office,-0.163476788,0.055908601,0.0000659425
605,Male,72,175,175,Junior,No,No,2.97,Near the Back,PC,10,12,100,Yes,0,120,Occasionally,Frequently,Occasionally,1,0,B,B,Right,Right,Right,Introvert,Fold,6,Left,12,195.97,Blond,No,30,313,Same,Same,Same,70,75,70,85,50,0.11,No,77,23,Friday Night Lights,0.1028599942,0.0204588672,9.2074773e-6
606,Male,76,165,173,Junior,Yes,No,2.86,Around the Middle,Mac,75,15,0,Yes,30,15,Occasionally,Frequently,Frequently,0,0,B,B,Right,Right,Left,Introvert,Fold,0,Left,16,56,Brown,No,20,200,Same,Second Toe,Second Toe,75,35,80,20,40,0,No,80,50,seinfeld,-0.899993714,0.0287362102,0.0009985274
607,Female,67,135,135,Sophomore,Yes,No,4,Near the Back,PC,100,0,1,No,0,30,Occasionally,Frequently,Occasionally,0,4,A,B,Right,Right,Right,Extravert,Crumple,25,Right,0,107,Brown,No,10,350,Females,Second Toe,Second Toe,75,65,90,60,5,0.7,No,75,5,Everybody Hates Chris,-0.278576996,0.0736335163,0.000257023
608,Female,63,125,115,Junior,No,No,2.64,Around the Middle,PC,5,50,100,Yes,0,45,Occasionally,On Rare Occasions,On Rare Occasions,2,4,A,A,Right,Right,Right,Introvert,Varies,2,Right,28,5,Blond,No,50,97,Females,Second Toe,Second Toe,70,75,50,50,60,20,Yes,80,0,Dexter,0.352854996,0.0304829121,0.0001631106
609,Male,70,180,180,Sophomore,Yes,Yes,3,Near the Front,PC,25,30,10,Yes,15,120,Frequently,Frequently,Frequently,0,0,B,B,Right,Right,Right,Introvert,Varies,20,Right,30,120,Brown,No,75,150,Same,Second Toe,Same,70,80,56,23,45,0.45,No,70,30,house,0.9151798724,0.0402253735,0.0014626233
610,Female,68,140,135,Junior,Yes,No,3.86,Near the Front,PC,6,35,0,Yes,30,0,Occasionally,Frequently,Frequently,0,0,A,A,Right,Right,Left,Extravert,Crumple,0,Left,14,102,Blond,No,0,110,Same,Big Toe,Big Toe,90,80,80,70,50,2.76,No,95,3,Anything on the History channel,0.0864079421,0.024864835,7.9326236e-6
611,Male,70,154,160,Sophomore,No,No,2.2,The Front Row,PC,10,12,50,Yes,25,60,Occasionally,Occasionally,Occasionally,0,0,B,B,Left,Right,Left,Introvert,Fold,0,Left,21,402,Black,No,25,239,Same,Big Toe,Big Toe,50,50,25,10,0,0,No,70,0,Grey's Anatomy,0.735882705,0.0243130209,0.0005622563
612,Female,67,110,110,Freshman,Yes,No,3.8,Near the Front,PC,200,17,0,Yes,15,60,Occasionally,Occasionally,On Rare Occasions,0,3,A-,A,Right,Right,Left,Extravert,Crumple,0,Left,26,193,Brown,No,50,350,Males,Big Toe,Big Toe,75,85,30,50,30,5,Yes,70,10,Teen Mom,1.5198367772,0.0220974484,0.0021748495
613,Male,73,163,170,Junior,No,Yes,2.5,Near the Back,Mac,50,11,60,Yes,25,15,Occasionally,Frequently,Occasionally,0,0,B,B+,Right,Varies,Left,Extravert,Varies,4,Left,28,92,Brown,No,10,163,Same,Same,Same,75,50,75,95,40,0.65,Yes,80,30,The Office,-1.153153694,0.0152399314,0.0008574637
614,Female,62,112,110,Junior,Yes,Yes,3.05,Around the Middle,PC,75,45,100,Yes,15,45,On Rare Occasions,Frequently,Frequently,0,4,B,A-,Right,Right,Left,Extravert,Fold,3,Left,32,205,Blond,Yes,10,618,Same,Big Toe,Big Toe,70,50,70,35,40,1.74,No,90,15,True Blood,-0.832019924,0.038476408,0.0011542258
615,Female,55,128,120,Senior,Yes,Yes,3.64,Near the Front,PC,50,120,0,Yes,0,20,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,0,5,A-,A-,Right,Right,Left,Introvert,Crumple,0,Left,0,173,Brown,No,15,476,Females,Big Toe,Big Toe,30,40,20,15,85,0.03,Yes,65,12,Gilmore Girls,-0.491192901,0.0619933066,0.0006644033
616,Male,74,165,180,Junior,No,No,1.65,Around the Middle,PC,500,13,0,Yes,13,180,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,0,B,B+,Right,Right,Right,Extravert,Crumple,2,Right,21,194,Brown,No,25,284,Females,Big Toe,Big Toe,100,5,50,75,15,0,Yes,100,17,That 70's Show,-2.196008078,0.0643740535,0.0138250027
617,Female,65,125,120,Sophomore,Yes,Yes,2.5,Near the Back,Mac,100,55,0,Yes,0,120,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,2,B,B,Right,Right,Left,Introvert,Crumple,0,Left,25,183.47,Brown,No,15,45,Females,Second Toe,Second Toe,65,30,40,60,50,45,Yes,65,10,vampire diaries,-1.494613684,0.0205635189,0.0019541947
